words, bits, size, mux, frequencyx,y,volt,ac_core_rd,ac_peri_rd,ac_core_wr,ac_peri_wr,standby_core_chipdisable,standby_peri_chipdisable,standby_core_ret1,standby_peri_ret1,standby_core_selective_precharge,standby_peri_selective_precharge,deselect_core,deselect_peri,peak_core,peak_peri,inrush_core,inrush_peri,
1024, 16, 16384, 8, 1000,55.1600,105.5900,0.9000,0.136012,2.710692,0.119114,2.935938,1.615,3.530,1.664,2.329,1.630,2.437,0.015561,0.156487,3.454253,20.052034,0.902408,20.052034,
1024, 16, 16384, 8, 500,55.1600,105.5900,0.9000,0.068006,1.355346,0.059557,1.467969,1.615,3.530,1.664,2.329,1.630,2.437,7.780,0.078243,3.454253,20.052034,0.902408,20.052034,
1024, 16, 16384, 8, 200,55.1600,105.5900,0.9000,0.027202,0.542138,0.023823,0.587188,1.615,3.530,1.664,2.329,1.630,2.437,3.112,0.031297,3.454253,20.052034,0.902408,20.052034,
2048, 8, 16384, 8, 1000,90.4200,68.4700,0.9000,0.128706,1.952421,0.123517,2.081707,1.760,2.977,1.808,1.965,1.775,2.019,0.014573,0.161932,3.407291,12.163994,0.90277,12.163994,
2048, 8, 16384, 8, 500,90.4200,68.4700,0.9000,0.064353,0.97621,0.061759,1.040853,1.760,2.977,1.808,1.965,1.775,2.019,7.286,0.080966,3.407291,12.163994,0.90277,12.163994,
2048, 8, 16384, 8, 200,90.4200,68.4700,0.9000,0.025741,0.390484,0.024703,0.416341,1.760,2.977,1.808,1.965,1.775,2.019,2.915,0.032386,3.407291,12.163994,0.90277,12.163994,
2048, 8, 16384, 16, 1000,55.1600,105.5900,0.9000,0.118721,2.650606,0.109056,2.70941,1.615,3.434,1.664,2.247,1.630,2.341,0.014403,0.144453,3.437357,19.947662,0.90256,19.947662,
2048, 8, 16384, 16, 500,55.1600,105.5900,0.9000,0.059361,1.325303,0.054528,1.354705,1.615,3.434,1.664,2.247,1.630,2.341,7.202,0.072227,3.437357,19.947662,0.90256,19.947662,
2048, 8, 16384, 16, 200,55.1600,105.5900,0.9000,0.023744,0.530121,0.021811,0.541882,1.615,3.434,1.664,2.247,1.630,2.341,2.881,0.028891,3.437357,19.947662,0.90256,19.947662,
4096, 4, 16384, 8, 1000,161.9800,49.9100,0.9000,0.11333,1.49969,0.111825,1.528249,2.051,2.727,2.099,1.790,2.066,1.838,0.017187,0.252118,4.031029,6.921338,0.903245,6.921338,
4096, 4, 16384, 8, 500,161.9800,49.9100,0.9000,0.056665,0.749845,0.055912,0.764125,2.051,2.727,2.099,1.790,2.066,1.838,8.593,0.126059,4.031029,6.921338,0.903245,6.921338,
4096, 4, 16384, 8, 200,161.9800,49.9100,0.9000,0.022666,0.299938,0.022365,0.30565,2.051,2.727,2.099,1.790,2.066,1.838,3.437,0.050424,4.031029,6.921338,0.903245,6.921338,
4096, 4, 16384, 16, 1000,90.4200,68.4700,0.9000,0.121453,1.944286,0.116421,1.967822,1.760,2.929,1.808,1.924,1.775,1.972,0.016048,0.174487,3.30188,12.65171,0.903177,12.65171,
4096, 4, 16384, 16, 500,90.4200,68.4700,0.9000,0.060727,0.972143,0.058211,0.983911,1.760,2.929,1.808,1.924,1.775,1.972,8.024,0.087244,3.30188,12.65171,0.903177,12.65171,
4096, 4, 16384, 16, 200,90.4200,68.4700,0.9000,0.024291,0.388857,0.023284,0.393564,1.760,2.929,1.808,1.924,1.775,1.972,3.210,0.034897,3.30188,12.65171,0.903177,12.65171,
4096, 4, 16384, 32, 1000,55.1600,105.5900,0.9000,0.112591,2.636826,0.108167,2.64349,1.615,3.363,1.664,2.199,1.630,2.270,0.016048,0.156075,3.429144,19.97424,0.90273,19.97424,
4096, 4, 16384, 32, 500,55.1600,105.5900,0.9000,0.056296,1.318413,0.054084,1.321745,1.615,3.363,1.664,2.199,1.630,2.270,8.024,0.078037,3.429144,19.97424,0.90273,19.97424,
4096, 4, 16384, 32, 200,55.1600,105.5900,0.9000,0.022518,0.527365,0.021633,0.528698,1.615,3.363,1.664,2.199,1.630,2.270,3.210,0.031215,3.429144,19.97424,0.90273,19.97424,
1024, 32, 32768, 8, 1000,55.1600,179.8300,0.9000,0.209789,4.632975,0.174167,5.180725,3.058,5.523,3.149,3.639,3.091,3.377,0.017588,0.157669,3.43574,34.44664,0.902866,30.63357,
1024, 32, 32768, 8, 500,55.1600,179.8300,0.9000,0.104895,2.316487,0.087084,2.590362,3.058,5.523,3.149,3.639,3.091,3.377,8.794,0.078834,3.43574,34.44664,0.902866,30.63357,
1024, 32, 32768, 8, 200,55.1600,179.8300,0.9000,0.041958,0.926595,0.034833,1.036145,3.058,5.523,3.149,3.639,3.091,3.377,3.518,0.031534,3.43574,34.44664,0.902866,30.63357,
2048, 16, 32768, 8, 1000,90.4200,105.5900,0.9000,0.167511,3.043577,0.156307,3.375898,3.203,4.398,3.293,2.906,3.236,2.524,0.015638,0.162912,3.557974,20.052034,0.902408,20.052034,
2048, 16, 32768, 8, 500,90.4200,105.5900,0.9000,0.083756,1.521789,0.078153,1.687949,3.203,4.398,3.293,2.906,3.236,2.524,7.819,0.081456,3.557974,20.052034,0.902408,20.052034,
2048, 16, 32768, 8, 200,90.4200,105.5900,0.9000,0.033502,0.608715,0.031261,0.67518,3.203,4.398,3.293,2.906,3.236,2.524,3.128,0.032582,3.557974,20.052034,0.902408,20.052034,
2048, 16, 32768, 16, 1000,55.1600,179.8300,0.9000,0.175569,4.527741,0.153181,4.738261,3.058,5.331,3.149,3.476,3.091,3.185,0.01513,0.14586,3.434188,33.10222,0.902886,30.02635,
2048, 16, 32768, 16, 500,55.1600,179.8300,0.9000,0.087784,2.26387,0.076591,2.369131,3.058,5.331,3.149,3.476,3.091,3.185,7.565,0.07293,3.434188,33.10222,0.902886,30.02635,
2048, 16, 32768, 16, 200,55.1600,179.8300,0.9000,0.035114,0.905548,0.030636,0.947652,3.058,5.331,3.149,3.476,3.091,3.185,3.026,0.029172,3.434188,33.10222,0.902886,30.02635,
4096, 8, 32768, 8, 1000,161.9800,68.4700,0.9000,0.132876,2.052037,0.12877,2.180666,3.494,3.863,3.585,2.547,3.527,2.125,0.017721,0.253651,4.025029,12.163994,0.90277,12.163994,
4096, 8, 32768, 8, 500,161.9800,68.4700,0.9000,0.066438,1.026018,0.064385,1.090333,3.494,3.863,3.585,2.547,3.527,2.125,8.860,0.126825,4.025029,12.163994,0.90277,12.163994,
4096, 8, 32768, 8, 200,161.9800,68.4700,0.9000,0.026575,0.410407,0.025754,0.436133,3.494,3.863,3.585,2.547,3.527,2.125,3.544,0.05073,4.025029,12.163994,0.90277,12.163994,
4096, 8, 32768, 16, 1000,90.4200,105.5900,0.9000,0.15199,3.012436,0.145728,3.12048,3.203,4.302,3.293,2.825,3.236,2.428,0.016397,0.175117,3.299099,19.947662,0.90256,19.947662,
4096, 8, 32768, 16, 500,90.4200,105.5900,0.9000,0.075995,1.506218,0.072864,1.56024,3.203,4.302,3.293,2.825,3.236,2.428,8.198,0.087559,3.299099,19.947662,0.90256,19.947662,
4096, 8, 32768, 16, 200,90.4200,105.5900,0.9000,0.030398,0.602487,0.029146,0.624096,3.203,4.302,3.293,2.825,3.236,2.428,3.279,0.035023,3.299099,19.947662,0.90256,19.947662,
4096, 8, 32768, 32, 1000,55.1600,179.8300,0.9000,0.160941,4.459407,0.15057,4.528104,3.058,5.189,3.149,3.378,3.091,3.043,0.01627,0.156336,3.432752,31.101498,0.902934,29.9148,
4096, 8, 32768, 32, 500,55.1600,179.8300,0.9000,0.080471,2.229703,0.075285,2.264052,3.058,5.189,3.149,3.378,3.091,3.043,8.135,0.078168,3.432752,31.101498,0.902934,29.9148,
4096, 8, 32768, 32, 200,55.1600,179.8300,0.9000,0.032188,0.891881,0.030114,0.905621,3.058,5.189,3.149,3.378,3.091,3.043,3.254,0.031267,3.432752,31.101498,0.902934,29.9148,
8192, 4, 32768, 8, 1000,319.9000,49.9100,0.9000,0.11589,1.699362,0.117197,1.722031,4.076,4.355,4.166,2.795,4.109,2.579,0.019911,0.381966,4.738935,6.921338,0.903245,6.921338,
8192, 4, 32768, 8, 500,319.9000,49.9100,0.9000,0.057945,0.849681,0.058599,0.861016,4.076,4.355,4.166,2.795,4.109,2.579,9.955,0.190983,4.738935,6.921338,0.903245,6.921338,
8192, 4, 32768, 8, 200,319.9000,49.9100,0.9000,0.023178,0.339872,0.023439,0.344406,4.076,4.355,4.166,2.795,4.109,2.579,3.982,0.076393,4.738935,6.921338,0.903245,6.921338,
8192, 4, 32768, 16, 1000,161.9800,68.4700,0.9000,0.123428,2.012686,0.11915,2.027262,3.494,3.815,3.585,2.506,3.527,2.077,0.016743,0.236222,4.020844,12.65171,0.903177,12.65171,
8192, 4, 32768, 16, 500,161.9800,68.4700,0.9000,0.061714,1.006343,0.059575,1.013631,3.494,3.815,3.585,2.506,3.527,2.077,8.371,0.118111,4.020844,12.65171,0.903177,12.65171,
8192, 4, 32768, 16, 200,161.9800,68.4700,0.9000,0.024686,0.402537,0.02383,0.405452,3.494,3.815,3.585,2.506,3.527,2.077,3.349,0.047244,4.020844,12.65171,0.903177,12.65171,
8192, 4, 32768, 32, 1000,90.4200,105.5900,0.9000,0.141991,2.972814,0.141491,2.996409,3.203,4.231,3.293,2.776,3.236,2.357,0.016048,0.1643,3.294411,19.97424,0.90273,19.97424,
8192, 4, 32768, 32, 500,90.4200,105.5900,0.9000,0.070996,1.486407,0.070746,1.498204,3.203,4.231,3.293,2.776,3.236,2.357,8.024,0.08215,3.294411,19.97424,0.90273,19.97424,
8192, 4, 32768, 32, 200,90.4200,105.5900,0.9000,0.028398,0.594563,0.028298,0.599282,3.203,4.231,3.293,2.776,3.236,2.357,3.210,0.03286,3.294411,19.97424,0.90273,19.97424,
1024, 64, 65536, 8, 1000,55.1600,328.3100,0.9000,0.35723,8.290556,0.297536,9.407872,5.945,9.509,6.119,6.259,6.014,5.256,0.02247,0.160852,5.411203,59.561104,1.130583,58.84311,
1024, 64, 65536, 8, 500,55.1600,328.3100,0.9000,0.178615,4.145278,0.148768,4.703936,5.945,9.509,6.119,6.259,6.014,5.256,0.011235,0.080426,5.411203,59.561104,1.130583,58.84311,
1024, 64, 65536, 8, 200,55.1600,328.3100,0.9000,0.071446,1.658111,0.059507,1.881574,5.945,9.509,6.119,6.259,6.014,5.256,4.494,0.03217,5.411203,59.561104,1.130583,58.84311,
2048, 32, 65536, 8, 1000,90.4200,179.8300,0.9000,0.245122,5.225892,0.221887,5.964282,6.089,7.240,6.264,4.788,6.158,3.533,0.017769,0.164878,3.859339,33.63184,0.902866,30.63357,
2048, 32, 65536, 8, 500,90.4200,179.8300,0.9000,0.122561,2.612946,0.110943,2.982141,6.089,7.240,6.264,4.788,6.158,3.533,8.884,0.082439,3.859339,33.63184,0.902866,30.63357,
2048, 32, 65536, 8, 200,90.4200,179.8300,0.9000,0.049024,1.045178,0.044377,1.192856,6.089,7.240,6.264,4.788,6.158,3.533,3.554,0.032976,3.859339,33.63184,0.902866,30.63357,
2048, 32, 65536, 16, 1000,55.1600,328.3100,0.9000,0.287458,8.089971,0.247847,8.583727,5.945,9.125,6.119,5.933,6.014,4.873,0.017328,0.148395,4.123121,57.786295,1.151943,57.786295,
2048, 32, 65536, 16, 500,55.1600,328.3100,0.9000,0.143729,4.044986,0.123924,4.291864,5.945,9.125,6.119,5.933,6.014,4.873,8.664,0.074198,4.123121,57.786295,1.151943,57.786295,
2048, 32, 65536, 16, 200,55.1600,328.3100,0.9000,0.057492,1.617994,0.049569,1.716745,5.945,9.125,6.119,5.933,6.014,4.873,3.466,0.029679,4.123121,57.786295,1.151943,57.786295,
4096, 16, 65536, 8, 1000,161.9800,105.5900,0.9000,0.171967,3.156729,0.162661,3.485498,6.381,6.133,6.555,4.060,6.450,2.699,0.018789,0.256715,4.013029,20.052034,0.902408,20.052034,
4096, 16, 65536, 8, 500,161.9800,105.5900,0.9000,0.085983,1.578364,0.081331,1.742749,6.381,6.133,6.555,4.060,6.450,2.699,9.394,0.128357,4.013029,20.052034,0.902408,20.052034,
4096, 16, 65536, 8, 200,161.9800,105.5900,0.9000,0.034393,0.631346,0.032532,0.6971,6.381,6.133,6.555,4.060,6.450,2.699,3.758,0.051343,4.013029,20.052034,0.902408,20.052034,
4096, 16, 65536, 16, 1000,90.4200,179.8300,0.9000,0.213062,5.148736,0.204343,5.425797,6.089,7.048,6.264,4.625,6.158,3.341,0.017094,0.176378,3.293538,31.67341,0.902886,30.02635,
4096, 16, 65536, 16, 500,90.4200,179.8300,0.9000,0.106531,2.574368,0.102171,2.712898,6.089,7.048,6.264,4.625,6.158,3.341,8.547,0.088189,3.293538,31.67341,0.902886,30.02635,
4096, 16, 65536, 16, 200,90.4200,179.8300,0.9000,0.042612,1.029747,0.040869,1.085159,6.089,7.048,6.264,4.625,6.158,3.341,3.419,0.035276,3.293538,31.67341,0.902886,30.02635,
4096, 16, 65536, 32, 1000,55.1600,328.3100,0.9000,0.255567,8.054434,0.23161,8.256928,5.945,8.841,6.119,5.738,6.014,4.589,0.016902,0.158662,3.443549,57.34349,1.124487,57.34349,
4096, 16, 65536, 32, 500,55.1600,328.3100,0.9000,0.127784,4.027217,0.115805,4.128464,5.945,8.841,6.119,5.738,6.014,4.589,8.451,0.079331,3.443549,57.34349,1.124487,57.34349,
4096, 16, 65536, 32, 200,55.1600,328.3100,0.9000,0.051113,1.610887,0.046322,1.651386,5.945,8.841,6.119,5.738,6.014,4.589,3.380,0.031732,3.443549,57.34349,1.124487,57.34349,
8192, 8, 65536, 8, 1000,319.9000,68.4700,0.9000,0.135889,2.257737,0.134527,2.39576,6.962,6.504,7.137,4.215,7.031,3.032,0.021064,0.385669,4.73802,12.163994,0.90277,12.163994,
8192, 8, 65536, 8, 500,319.9000,68.4700,0.9000,0.067945,1.128869,0.067263,1.19788,6.962,6.504,7.137,4.215,7.031,3.032,0.010532,0.192835,4.73802,12.163994,0.90277,12.163994,
8192, 8, 65536, 8, 200,319.9000,68.4700,0.9000,0.027178,0.451547,0.026905,0.479152,6.962,6.504,7.137,4.215,7.031,3.032,4.213,0.077134,4.73802,12.163994,0.90277,12.163994,
8192, 8, 65536, 16, 1000,161.9800,105.5900,0.9000,0.153939,3.094059,0.14807,3.188327,6.381,6.038,6.555,3.979,6.450,2.603,0.01705,0.238654,4.010206,19.947662,0.90256,19.947662,
8192, 8, 65536, 16, 500,161.9800,105.5900,0.9000,0.076969,1.54703,0.074035,1.594163,6.381,6.038,6.555,3.979,6.450,2.603,8.525,0.119327,4.010206,19.947662,0.90256,19.947662,
8192, 8, 65536, 16, 200,161.9800,105.5900,0.9000,0.030788,0.618812,0.029614,0.637665,6.381,6.038,6.555,3.979,6.450,2.603,3.410,0.047731,4.010206,19.947662,0.90256,19.947662,
8192, 8, 65536, 32, 1000,90.4200,179.8300,0.9000,0.192565,5.042146,0.186795,5.191134,6.089,6.907,6.264,4.528,6.158,3.200,0.01642,0.165104,3.293325,29.9148,0.902934,29.9148,
8192, 8, 65536, 32, 500,90.4200,179.8300,0.9000,0.096283,2.521073,0.093397,2.595567,6.089,6.907,6.264,4.528,6.158,3.200,8.210,0.082552,3.293325,29.9148,0.902934,29.9148,
8192, 8, 65536, 32, 200,90.4200,179.8300,0.9000,0.038513,1.008429,0.037359,1.038227,6.089,6.907,6.264,4.528,6.158,3.200,3.284,0.033021,3.293325,29.9148,0.902934,29.9148,
16384, 4, 65536, 16, 1000,319.9000,68.4700,0.9000,0.126977,2.266241,0.124087,2.297957,6.962,6.456,7.137,4.174,7.031,2.984,0.020617,0.414743,4.739517,12.65171,0.903177,12.65171,
16384, 4, 65536, 16, 500,319.9000,68.4700,0.9000,0.063489,1.133121,0.062044,1.148979,6.962,6.456,7.137,4.174,7.031,2.984,0.010309,0.207372,4.739517,12.65171,0.903177,12.65171,
16384, 4, 65536, 16, 200,319.9000,68.4700,0.9000,0.025395,0.453248,0.024817,0.459591,6.962,6.456,7.137,4.174,7.031,2.984,4.123,0.082949,4.739517,12.65171,0.903177,12.65171,
16384, 4, 65536, 32, 1000,161.9800,105.5900,0.9000,0.145279,3.078832,0.147435,3.100277,6.381,5.967,6.555,3.930,6.450,2.532,0.018056,0.25604,4.014442,19.97424,0.90273,19.97424,
16384, 4, 65536, 32, 500,161.9800,105.5900,0.9000,0.07264,1.539416,0.073718,1.550138,6.381,5.967,6.555,3.930,6.450,2.532,9.028,0.12802,4.014442,19.97424,0.90273,19.97424,
16384, 4, 65536, 32, 200,161.9800,105.5900,0.9000,0.029056,0.615766,0.029487,0.620055,6.381,5.967,6.555,3.930,6.450,2.532,3.611,0.051208,4.014442,19.97424,0.90273,19.97424,
1024, 128, 131072, 8, 1000,62.1800,656.1200,0.9000,0.707549,16.844098,0.586991,19.072418,0.01194,0.019493,0.012285,1.286,0.012074,0.010989,0.034101,0.510548,11.080795,121.2112,2.105385,117.0887,
1024, 128, 131072, 8, 500,62.1800,656.1200,0.9000,0.353775,8.422049,0.293496,9.536209,0.01194,0.019493,0.012285,1.286,0.012074,0.010989,0.01705,0.255274,11.080795,121.2112,2.105385,117.0887,
1024, 128, 131072, 8, 200,62.1800,656.1200,0.9000,0.14151,3.36882,0.117398,3.814484,0.01194,0.019493,0.012285,1.286,0.012074,0.010989,6.820,0.10211,11.080795,121.2112,2.105385,117.0887,
2048, 64, 131072, 8, 1000,90.4200,328.3100,0.9000,0.391742,9.368314,0.333199,11.14639,0.011862,0.012925,0.012205,8.553,0.012003,5.551,0.022807,0.167503,6.362637,60.802704,1.130583,58.84311,
2048, 64, 131072, 8, 500,90.4200,328.3100,0.9000,0.195871,4.684157,0.1666,5.573195,0.011862,0.012925,0.012205,8.553,0.012003,5.551,0.011403,0.083751,6.362637,60.802704,1.130583,58.84311,
2048, 64, 131072, 8, 200,90.4200,328.3100,0.9000,0.078348,1.873663,0.06664,2.229278,0.011862,0.012925,0.012205,8.553,0.012003,5.551,4.561,0.033501,6.362637,60.802704,1.130583,58.84311,
2048, 64, 131072, 16, 1000,62.1800,656.1200,0.9000,0.567511,16.418127,0.494871,17.457225,0.01194,0.018726,0.012285,1.221,0.012074,0.010222,0.023743,0.476882,7.922911,115.65795,2.185119,115.0808,
2048, 64, 131072, 16, 500,62.1800,656.1200,0.9000,0.283755,8.209063,0.247435,8.728612,0.01194,0.018726,0.012285,1.221,0.012074,0.010222,0.011872,0.238441,7.922911,115.65795,2.185119,115.0808,
